cfbconference,cfbclass,cfbgames,cfbreceptions,cfbrecyards,cfbrecyardsperreception,cfbrectd,cfbrushattempts,cfbrushyards,cfbrushyardsperattempt,cfbrushtd,cfbscrimmages,cfbyards,cfbyardsfromscrimmage,cfbtd,combineht,combinewt,combineforty,combinevertical,combinebenchreps,combinebroadjump,combinecone,combineshuttle,yardsfirst5seasons
Big Ten,SR,47.0,110.0,2008.0,18.3,10.0,4.0,5.0,1.3,0.0,114.0,2013.0,17.7,10.0,74.0,214.0,4.57,,,,,,2675.0
SEC,SR,44.0,133.0,2097.0,15.8,16.0,10.0,81.0,8.1,1.0,143.0,2178.0,15.2,17.0,72.0,205.0,4.42,,,,,,384.0
Big 12,SR,35.0,117.0,1740.0,14.9,11.0,8.0,55.0,6.9,1.0,125.0,1795.0,14.4,12.0,71.0,201.0,4.38,38.5,,127.0,,,606.0
ACC,SR,36.0,118.0,1790.0,15.2,21.0,26.0,127.0,4.9,1.0,144.0,1917.0,13.3,22.0,73.0,216.0,4.72,33.5,,114.0,7.35,4.33,5458.0
Sun Belt,SR,45.0,194.0,2636.0,13.6,17.0,14.0,55.0,3.9,1.0,208.0,2691.0,12.9,18.0,76.0,223.0,4.34,38.0,,127.0,6.73,4.26,501.0
SEC,SO,16.0,87.0,1453.0,16.7,6.0,1.0,10.0,10.0,0.0,88.0,1463.0,16.6,6.0,74.0,223.0,4.42,,,,,,893.0
WAC,SR,33.0,248.0,3287.0,13.3,22.0,27.0,190.0,7.0,1.0,275.0,3477.0,12.6,23.0,72.0,197.0,4.51,42.5,,126.0,6.96,4.16,2675.0
Ind,SR,22.0,174.0,2789.0,16.0,19.0,9.0,46.0,5.1,1.0,183.0,2835.0,15.5,20.0,71.0,186.0,4.42,36.0,,122.0,6.76,3.99,2824.0
ACC,SR,48.0,210.0,2978.0,14.2,24.0,7.0,37.0,5.3,1.0,217.0,3015.0,13.9,25.0,76.0,210.0,4.61,,,,,,725.0
Pac-10,JR,37.0,156.0,2867.0,18.4,24.0,14.0,63.0,4.5,1.0,170.0,2930.0,17.2,25.0,68.0,169.0,4.43,,,,,,2158.0
Big Ten,JR,35.0,155.0,2527.0,16.3,19.0,12.0,55.0,4.6,0.0,167.0,2582.0,15.5,19.0,72.0,184.0,4.62,36.0,,,,,1889.0
ACC,SR,46.0,146.0,2195.0,15.0,15.0,7.0,33.0,4.7,0.0,153.0,2228.0,14.6,15.0,74.0,209.0,4.59,39.5,,121.0,7.22,,250.0
Pac-10,SR,45.0,230.0,3351.0,14.6,23.0,12.0,53.0,4.4,0.0,242.0,3404.0,14.1,23.0,70.0,193.0,4.66,34.5,,115.0,7.01,4.11,858.0
Big 12,SR,37.0,200.0,2704.0,13.5,18.0,28.0,6.0,0.2,0.0,228.0,2710.0,11.9,18.0,76.0,217.0,4.45,,,,,,1658.0
CUSA,SR,22.0,82.0,1343.0,16.4,7.0,0.0,0.0,0.0,0.0,82.0,1343.0,16.4,7.0,71.0,215.0,4.49,32.0,,119.0,7.32,4.26,10.0
CUSA,SR,34.0,89.0,1669.0,18.8,14.0,0.0,0.0,0.0,0.0,89.0,1669.0,18.8,14.0,,,,,,,,,0.0
MAC,SR,22.0,97.0,1869.0,19.3,20.0,7.0,52.0,7.4,1.0,104.0,1921.0,18.5,21.0,74.0,213.0,4.52,35.5,,116.0,7.05,4.16,1894.0
MWC,SR,41.0,262.0,3572.0,13.6,18.0,8.0,34.0,4.3,1.0,270.0,3606.0,13.4,19.0,73.0,202.0,4.67,36.0,,119.0,6.99,4.23,0.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,308.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,46.0
CUSA,SR,45.0,111.0,1560.0,14.1,13.0,41.0,235.0,5.7,3.0,152.0,1795.0,11.8,16.0,71.0,196.0,4.52,34.0,,122.0,7.41,4.35,0.0
Ind,SR,40.0,63.0,826.0,13.1,5.0,64.0,320.0,5.0,1.0,127.0,1146.0,9.0,6.0,73.0,217.0,4.58,35.0,,117.0,6.74,4.06,1792.0
WAC,Non Declared,6.0,8.0,71.0,8.9,0.0,0.0,0.0,0.0,0.0,8.0,71.0,8.9,0.0,,,,,,,,,38.0
Pac-10,SR,48.0,204.0,3104.0,15.2,15.0,14.0,64.0,4.6,0.0,218.0,3168.0,14.5,15.0,72.0,186.0,4.42,35.0,,125.0,7.51,4.24,0.0
Big East,SR,46.0,75.0,1214.0,16.2,6.0,4.0,35.0,8.8,0.0,79.0,1249.0,15.8,6.0,,,,,,,,,650.0
Pac-10,SR,49.0,173.0,2698.0,15.6,24.0,13.0,150.0,11.5,1.0,186.0,2848.0,15.3,25.0,70.0,178.0,4.56,31.5,,114.0,7.34,4.28,18.0
Big 12,SR,14.0,41.0,721.0,17.6,5.0,2.0,12.0,6.0,0.0,43.0,733.0,17.0,5.0,,,,,,,,,0.0
Big Ten,SR,46.0,141.0,2204.0,15.6,13.0,2.0,-12.0,-6.0,0.0,143.0,2192.0,15.3,13.0,77.0,214.0,4.54,39.0,,121.0,6.9,4.25,17.0
ACC,SR,47.0,90.0,1595.0,17.7,19.0,7.0,39.0,5.6,0.0,97.0,1634.0,16.8,19.0,73.0,205.0,4.44,34.5,,116.0,7.54,4.43,52.0
Ind,SR,31.0,69.0,1078.0,15.6,9.0,0.0,0.0,0.0,0.0,69.0,1078.0,15.6,9.0,,,,,,,,,0.0
MAC,SR,44.0,211.0,2838.0,13.5,20.0,0.0,0.0,0.0,0.0,211.0,2838.0,13.5,20.0,,,,,,,,,1256.0
MAC,SR,46.0,149.0,1966.0,13.2,17.0,1.0,37.0,37.0,0.0,150.0,2003.0,13.4,17.0,,,,,,,,,0.0
CUSA,SR,36.0,59.0,838.0,14.2,6.0,162.0,500.0,3.1,7.0,221.0,1338.0,6.1,13.0,,,,,,,,,0.0
Other,Non Declared,,,,,,,,,,,,,,74.0,200.0,4.51,38.0,,125.0,6.72,3.95,0.0
SEC,JR,31.0,99.0,1747.0,17.6,13.0,4.0,30.0,7.5,0.0,103.0,1777.0,17.3,13.0,72.0,197.0,4.22,,,,,,3516.0
WAC,JR,36.0,194.0,3341.0,17.2,32.0,0.0,0.0,0.0,0.0,194.0,3341.0,17.2,32.0,75.0,197.0,4.49,,,,,,3437.0
ACC,SR,20.0,65.0,1257.0,19.3,10.0,0.0,0.0,0.0,0.0,65.0,1257.0,19.3,10.0,75.0,210.0,4.38,39.5,,128.0,6.86,4.05,3528.0
SEC,SO,23.0,138.0,2375.0,17.2,27.0,0.0,0.0,0.0,0.0,138.0,2375.0,17.2,27.0,73.0,193.0,4.56,,,,6.87,4.06,2151.0
SEC,JR,31.0,167.0,3001.0,18.0,17.0,9.0,63.0,7.0,1.0,176.0,3064.0,17.4,18.0,70.0,210.0,4.54,,,,,,2109.0
SEC,JR,29.0,57.0,842.0,14.8,4.0,24.0,173.0,7.2,0.0,81.0,1015.0,12.5,4.0,72.0,190.0,4.32,39.0,,126.0,6.68,3.93,967.0
Big East,SR,40.0,110.0,2094.0,19.0,19.0,12.0,137.0,11.4,4.0,122.0,2231.0,18.3,23.0,73.0,194.0,4.42,39.5,,123.0,6.77,4.1,1615.0
SEC,JR,35.0,141.0,2088.0,14.8,18.0,13.0,91.0,7.0,0.0,154.0,2179.0,14.1,18.0,72.0,194.0,4.53,41.5,,130.0,7.0,4.1,1710.0
Big Ten,SR,44.0,7.0,90.0,12.9,1.0,857.0,3895.0,4.5,44.0,864.0,3985.0,4.6,45.0,70.0,191.0,4.49,,,,,,2363.0
Big East,JR,31.0,161.0,2805.0,17.4,26.0,0.0,0.0,0.0,0.0,161.0,2805.0,17.4,26.0,73.0,188.0,4.57,37.0,,121.0,,,2907.0
CUSA,SR,23.0,143.0,2204.0,15.4,18.0,10.0,36.0,3.6,0.0,153.0,2240.0,14.6,18.0,69.0,191.0,4.47,36.0,,117.0,6.71,3.78,3469.0
Big Ten,SR,44.0,161.0,2004.0,12.4,17.0,7.0,14.0,2.0,0.0,168.0,2018.0,12.0,17.0,,,,,,,,,0.0
MWC,SR,28.0,124.0,1862.0,15.0,10.0,7.0,37.0,5.3,0.0,131.0,1899.0,14.5,10.0,71.0,185.0,4.36,,,,,,45.0
Big 12,SR,43.0,3.0,109.0,36.3,2.0,648.0,3434.0,5.3,59.0,651.0,3543.0,5.4,61.0,72.0,195.0,4.47,38.0,,112.0,6.87,4.02,0.0
Big Ten,SR,45.0,196.0,2931.0,15.0,31.0,1.0,-27.0,-27.0,0.0,197.0,2904.0,14.7,31.0,74.0,225.0,4.7,34.5,,118.0,7.12,4.02,126.0
Other,Non Declared,,,,,,,,,,,,,,75.0,207.0,4.52,36.5,,122.0,7.02,4.09,0.0
Big Ten,SR,46.0,115.0,1640.0,14.3,7.0,8.0,42.0,5.3,0.0,123.0,1682.0,13.7,7.0,71.0,193.0,4.45,33.0,,114.0,6.65,4.26,0.0
SEC,SR,44.0,71.0,1020.0,14.4,8.0,5.0,77.0,15.4,0.0,76.0,1097.0,14.4,8.0,73.0,203.0,4.47,36.5,,123.0,6.83,4.09,578.0
MAC,SR,40.0,131.0,1986.0,15.2,10.0,10.0,49.0,4.9,0.0,141.0,2035.0,14.4,10.0,73.0,200.0,4.49,,,,,,0.0
SEC,SR,44.0,152.0,1859.0,12.2,6.0,32.0,242.0,7.6,1.0,184.0,2101.0,11.4,7.0,70.0,190.0,4.51,33.5,,117.0,6.84,,0.0
Big Ten,SR,41.0,105.0,1698.0,16.2,14.0,55.0,324.0,5.9,1.0,160.0,2022.0,12.6,15.0,,,,,,,,,0.0
Big Ten,SR,35.0,152.0,1892.0,12.4,15.0,5.0,9.0,1.8,0.0,157.0,1901.0,12.1,15.0,74.0,200.0,4.65,35.0,,,,,0.0
WAC,SR,45.0,200.0,2920.0,14.6,28.0,13.0,79.0,6.1,0.0,213.0,2999.0,14.1,28.0,73.0,190.0,4.55,32.5,,119.0,7.08,4.17,154.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,0.0
Ind,SR,45.0,63.0,867.0,13.8,4.0,3.0,51.0,17.0,0.0,66.0,918.0,13.9,4.0,71.0,186.0,4.47,41.0,,129.0,6.84,4.04,35.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,0.0
Pac-10,FR,4.0,0.0,0.0,0.0,0.0,20.0,95.0,4.8,1.0,20.0,95.0,4.8,1.0,,,,,,,,,0.0
Sun Belt,SR,33.0,208.0,2659.0,12.8,17.0,9.0,76.0,8.4,0.0,217.0,2735.0,12.6,17.0,74.0,200.0,4.69,33.5,,117.0,6.87,4.27,55.0
MAC,SR,35.0,88.0,1595.0,18.1,13.0,13.0,105.0,8.1,0.0,101.0,1700.0,16.8,13.0,,,,,,,,,0.0
Big East,SR,39.0,59.0,819.0,13.9,5.0,2.0,-8.0,-4.0,0.0,61.0,811.0,13.3,5.0,69.0,180.0,4.35,,,,,,90.0
ACC,SR,37.0,1.0,2.0,2.0,0.0,348.0,1249.0,3.6,13.0,349.0,1251.0,3.6,13.0,74.0,220.0,4.59,35.0,,115.0,7.06,4.11,1449.0
WAC,SR,35.0,211.0,3142.0,14.9,23.0,39.0,234.0,6.0,1.0,250.0,3376.0,13.5,24.0,,,,,,,,,0.0
Ind,SR,44.0,72.0,814.0,11.3,3.0,41.0,146.0,3.6,4.0,113.0,960.0,8.5,7.0,72.0,217.0,4.56,40.5,,126.0,6.82,4.13,2318.0
Big 12,SR,47.0,137.0,2400.0,17.5,14.0,15.0,69.0,4.6,0.0,152.0,2469.0,16.2,14.0,67.0,155.0,4.31,35.0,,119.0,6.84,4.11,0.0
Big Ten,JR,34.0,137.0,2005.0,14.6,19.0,8.0,108.0,13.5,1.0,145.0,2113.0,14.6,20.0,75.0,213.0,4.43,,,,,,1602.0
ACC,SO,22.0,110.0,1914.0,17.4,15.0,28.0,110.0,3.9,0.0,138.0,2024.0,14.7,15.0,73.0,211.0,4.61,,,,,,3514.0
ACC,SR,46.0,159.0,2404.0,15.1,12.0,5.0,0.0,0.0,0.0,164.0,2404.0,14.7,12.0,74.0,219.0,4.48,,,,,,3148.0
Big East,SR,42.0,143.0,2547.0,17.8,19.0,12.0,277.0,23.1,3.0,155.0,2824.0,18.2,22.0,70.0,184.0,4.31,,,,,,3899.0
Pac-10,JR,34.0,110.0,1955.0,17.8,9.0,9.0,67.0,7.4,0.0,119.0,2022.0,17.0,9.0,71.0,185.0,4.46,39.5,,120.0,6.95,4.06,1263.0
Big East,SR,45.0,173.0,2510.0,14.5,20.0,2.0,15.0,7.5,0.0,175.0,2525.0,14.4,20.0,72.0,198.0,4.45,,,,,,4164.0
Big 12,SR,24.0,106.0,2173.0,20.5,23.0,3.0,11.0,3.7,0.0,109.0,2184.0,20.0,23.0,73.0,211.0,4.48,,,,,,2460.0
Pac-10,SR,12.0,37.0,806.0,21.8,8.0,2.0,-5.0,-2.5,0.0,39.0,801.0,20.5,8.0,73.0,192.0,4.57,33.0,,108.0,7.51,4.14,5556.0
Big 12,JR,10.0,58.0,885.0,15.3,6.0,0.0,0.0,0.0,0.0,58.0,885.0,15.3,6.0,73.0,205.0,4.48,36.5,,120.0,7.24,4.07,1546.0
Big Ten,SR,41.0,127.0,2004.0,15.8,16.0,2.0,17.0,8.5,0.0,129.0,2021.0,15.7,16.0,72.0,210.0,4.33,45.0,,134.0,,4.0,4596.0
MWC,SR,21.0,78.0,1603.0,20.6,12.0,8.0,52.0,6.5,0.0,86.0,1655.0,19.2,12.0,69.0,184.0,4.41,38.5,,121.0,7.44,4.25,3759.0
ACC,SR,42.0,115.0,2098.0,18.2,17.0,2.0,6.0,3.0,0.0,117.0,2104.0,18.0,17.0,73.0,171.0,4.57,37.5,,115.0,7.06,4.07,515.0
Pac-10,JR,12.0,55.0,984.0,17.9,5.0,2.0,32.0,16.0,1.0,57.0,1016.0,17.8,6.0,,,,,,,,,69.0
MAC,SR,44.0,204.0,2991.0,14.7,29.0,14.0,162.0,11.6,0.0,218.0,3153.0,14.5,29.0,74.0,209.0,4.51,41.0,,129.0,7.06,3.99,2685.0
WAC,SR,43.0,41.0,593.0,14.5,4.0,4.0,-6.0,-1.5,0.0,45.0,587.0,13.0,4.0,74.0,204.0,4.49,43.0,,134.0,,,29.0
Big Ten,SR,49.0,176.0,2370.0,13.5,25.0,50.0,384.0,7.7,3.0,226.0,2754.0,12.2,28.0,69.0,192.0,4.48,,,,,,5.0
Other,Non Declared,,,,,,,,,,,,,,77.0,201.0,4.47,30.5,,110.0,,,121.0
Other,Non Declared,,,,,,,,,,,,,,74.0,184.0,4.57,34.5,,115.0,,,858.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,0.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,774.0
Other,Non Declared,,,,,,,,,,,,,,71.0,191.0,4.43,39.5,,122.0,6.78,4.08,379.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,266.0
Big 12,SR,41.0,45.0,660.0,14.7,4.0,145.0,489.0,3.4,12.0,190.0,1149.0,6.0,16.0,70.0,195.0,4.53,37.0,,117.0,6.86,3.98,0.0
SEC,SR,45.0,159.0,2137.0,13.4,24.0,0.0,0.0,0.0,0.0,159.0,2137.0,13.4,24.0,70.0,179.0,4.48,38.0,,123.0,,,1654.0
Big Ten,SR,43.0,157.0,1974.0,12.6,11.0,2.0,-20.0,-10.0,0.0,159.0,1954.0,12.3,11.0,72.0,199.0,4.42,43.5,,126.0,6.56,3.73,467.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,0.0
Pac-10,SR,23.0,72.0,1108.0,15.4,9.0,1.0,23.0,23.0,0.0,73.0,1131.0,15.5,9.0,,,,,,,,,2654.0
SEC,Non Declared,23.0,11.0,88.0,8.0,0.0,20.0,143.0,7.2,1.0,31.0,231.0,7.5,1.0,71.0,177.0,4.39,36.5,,126.0,,,0.0
Big Ten,SR,42.0,80.0,1268.0,15.9,6.0,0.0,0.0,0.0,0.0,80.0,1268.0,15.9,6.0,73.0,183.0,4.39,,,,,,203.0
Big 12,SR,47.0,83.0,1316.0,15.9,7.0,6.0,69.0,11.5,1.0,89.0,1385.0,15.6,8.0,71.0,183.0,4.4,35.5,,115.0,6.81,3.93,0.0
Big Ten,SR,47.0,106.0,1849.0,17.4,9.0,13.0,53.0,4.1,0.0,119.0,1902.0,16.0,9.0,73.0,196.0,4.34,,,,,,239.0
SEC,Non Declared,28.0,101.0,1172.0,11.6,9.0,140.0,481.0,3.4,7.0,241.0,1653.0,6.9,16.0,,,,,,,,,0.0
SEC,SR,39.0,112.0,1743.0,15.6,15.0,8.0,160.0,20.0,1.0,120.0,1903.0,15.9,16.0,70.0,191.0,4.48,36.5,,112.0,7.17,4.18,427.0
Big East,SR,41.0,64.0,834.0,13.0,3.0,0.0,0.0,0.0,0.0,64.0,834.0,13.0,3.0,72.0,199.0,4.61,,,,,,327.0
ACC,Non Declared,54.0,207.0,3517.0,17.0,32.0,41.0,188.0,4.6,4.0,248.0,3705.0,14.9,36.0,71.0,194.0,4.58,,,,,,2811.0
Big Ten,Non Declared,24.0,131.0,2155.0,16.5,20.0,0.0,0.0,0.0,0.0,131.0,2155.0,16.5,20.0,77.0,231.0,4.59,33.0,,115.0,,,4164.0
SEC,Non Declared,27.0,72.0,1150.0,16.0,15.0,4.0,25.0,6.3,0.0,76.0,1175.0,15.5,15.0,73.0,199.0,4.43,37.0,,118.0,7.15,,2758.0
Other,Non Declared,,,,,,,,,,,,,,75.0,216.0,4.6,34.5,,119.0,7.06,4.17,678.0
Pac-10,Non Declared,46.0,161.0,2672.0,16.6,23.0,27.0,340.0,12.6,3.0,188.0,3012.0,16.0,26.0,69.0,177.0,4.34,35.0,,124.0,,,154.0
Pac-10,Non Declared,46.0,217.0,3186.0,14.7,24.0,34.0,382.0,11.2,2.0,251.0,3568.0,14.2,26.0,70.0,175.0,4.43,37.5,,123.0,6.96,4.04,2769.0
CUSA,Non Declared,45.0,149.0,2366.0,15.9,22.0,0.0,0.0,0.0,0.0,149.0,2366.0,15.9,22.0,74.0,169.0,4.45,,,,,,2816.0
Big East,Non Declared,33.0,28.0,591.0,21.1,7.0,6.0,52.0,8.7,0.0,34.0,643.0,18.9,7.0,74.0,221.0,4.48,,,,,,2273.0
ACC,Non Declared,46.0,105.0,1520.0,14.5,7.0,0.0,0.0,0.0,0.0,105.0,1520.0,14.5,7.0,73.0,206.0,4.58,,,117.0,,,797.0
ACC,Non Declared,32.0,90.0,1833.0,20.4,14.0,11.0,67.0,6.1,0.0,101.0,1900.0,18.8,14.0,73.0,218.0,4.62,37.5,,124.0,6.91,4.09,2124.0
Big 12,Non Declared,36.0,85.0,1363.0,16.0,8.0,4.0,45.0,11.3,0.0,89.0,1408.0,15.8,8.0,72.0,191.0,4.37,37.5,,125.0,6.76,4.09,164.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,696.0
ACC,Non Declared,35.0,62.0,1064.0,17.2,7.0,35.0,260.0,7.4,1.0,97.0,1324.0,13.6,8.0,71.0,192.0,4.41,34.0,,115.0,6.89,4.39,4656.0
CUSA,Non Declared,41.0,240.0,3131.0,13.0,31.0,1.0,3.0,3.0,0.0,241.0,3134.0,13.0,31.0,73.0,199.0,4.55,34.0,,117.0,6.96,4.16,664.0
SEC,Non Declared,32.0,97.0,1501.0,15.5,14.0,3.0,26.0,8.7,0.0,100.0,1527.0,15.3,14.0,72.0,197.0,4.56,,,,,,5007.0
Big Ten,Non Declared,45.0,134.0,2095.0,15.6,18.0,1.0,-8.0,-8.0,0.0,135.0,2087.0,15.5,18.0,72.0,194.0,4.59,33.5,,119.0,,,26.0
Pac-10,Non Declared,44.0,159.0,3020.0,19.0,19.0,3.0,40.0,13.3,0.0,162.0,3060.0,18.9,19.0,75.0,217.0,4.58,,,,,,611.0
MAC,Non Declared,38.0,128.0,2131.0,16.6,20.0,7.0,47.0,6.7,1.0,135.0,2178.0,16.1,21.0,75.0,199.0,4.56,37.5,,121.0,7.03,4.29,784.0
SEC,Non Declared,43.0,137.0,2879.0,21.0,23.0,1.0,3.0,3.0,0.0,138.0,2882.0,20.9,23.0,75.0,194.0,4.53,35.0,,121.0,,,0.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,142.0
Pac-10,Non Declared,45.0,176.0,2443.0,13.9,15.0,6.0,23.0,3.8,0.0,182.0,2466.0,13.5,15.0,71.0,204.0,4.5,,,,7.33,4.18,126.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,0.0
Big 12,Non Declared,43.0,22.0,260.0,11.8,0.0,522.0,2818.0,5.4,22.0,544.0,3078.0,5.7,22.0,,,,,,,,,975.0
Other,Non Declared,,,,,,,,,,,,,,73.0,201.0,4.52,37.5,,129.0,6.91,4.09,0.0
Pac-10,Non Declared,42.0,244.0,3986.0,16.3,26.0,6.0,5.0,0.8,0.0,250.0,3991.0,16.0,26.0,66.0,171.0,4.55,32.5,,106.0,6.61,3.84,673.0
Big 12,Non Declared,19.0,9.0,130.0,14.4,1.0,152.0,798.0,5.3,11.0,161.0,928.0,5.8,12.0,,,,,,,,,71.0
Other,Non Declared,,,,,,,,,,,,,,74.0,205.0,4.66,39.5,,129.0,6.93,4.13,0.0
MAC,Non Declared,25.0,73.0,1471.0,20.2,17.0,2.0,-12.0,-6.0,0.0,75.0,1459.0,19.5,17.0,71.0,180.0,4.59,36.0,,123.0,7.22,4.16,410.0
SEC,Non Declared,43.0,101.0,1235.0,12.2,4.0,3.0,3.0,1.0,0.0,104.0,1238.0,11.9,4.0,,,,,,,,,0.0
CUSA,Non Declared,42.0,193.0,3214.0,16.7,30.0,1.0,-3.0,-3.0,0.0,194.0,3211.0,16.6,30.0,71.0,173.0,4.66,,,,,,0.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,0.0
MAC,Non Declared,11.0,85.0,1158.0,13.6,6.0,11.0,62.0,5.6,0.0,96.0,1220.0,12.7,6.0,,,,,,,,,11.0
Ind,Non Declared,33.0,162.0,2249.0,13.9,14.0,1.0,2.0,2.0,0.0,163.0,2251.0,13.8,14.0,73.0,202.0,4.56,35.5,,125.0,7.3,4.25,805.0
Other,Non Declared,,,,,,,,,,,,,,,,,,,,,,0.0
Big 12,Non Declared,22.0,43.0,847.0,19.7,6.0,0.0,0.0,0.0,0.0,43.0,847.0,19.7,6.0,71.0,186.0,4.56,,16.0,,6.98,4.13,0.0
